username,positive,negative,neutral,follower,following,favorite,tweets,retweet,favorited
alfian_ay,7.04,-4.24,15.24,211,214,594,37957,437,215
canc_ers,2.71,-2.78,9.17,317,456,942,19991,885,20
lenoydew,4.43,-4.25,11.47,306,160,5877,15929,864,335
chyntw_,6.17,-4.73,18.02,822,263,774,54754,817,1756
stttopp,3.24,-3.75,14.51,385,262,798,17818,1361,183
savirapu,5.2,-2.68,15.91,505,272,4093,16906,740,147
gorjesparkle,2.65,-1.99,7.86,345,242,408,1357,187,14
hasinanr,3.87,-2.31,12.67,344,297,977,6640,1119,44
latifanajla__,4.21,-3.67,14.59,107,119,684,1592,55,140
dyeah13,5.2,-2.95,13.14,293,243,2323,17535,1067,75
aliencuk,3.12,-2.35,15.45,78,50,4354,2090,34,1276
detiaferlian,1.52,-0.84,6.93,825,260,12,3095,160,52
putriyuniardi,4.08,-3.63,12.17,681,386,1623,67782,1681,89
fildzahanais,4.41,-1.99,13.07,148,441,4774,3525,489,391
imfnia,4.86,-2.8,14.75,448,382,596,9199,181,90
stephanieayuu,3.16,-3.13,17.29,725,123,40,15563,750,346
farahmhdyyh,3.7,-2.03,11.32,96,126,1307,1754,383,72
rizkaaulia,2.92,-2.32,10.64,719,401,668,67888,628,125
viragutubela,4.34,-1.56,11.32,218,203,2777,3074,112,175
kimsatgat2,4.67,-3.26,14.54,62,189,37921,15132,492,769
rizol_rizal,4.28,-1.67,14.46,380,645,87,8771,704,44
mautongue,2.11,-1.76,9.89,1197,323,706,51108,2291,61
fanirchm27,5.23,-3.09,14.62,875,524,193,62865,1198,201
rallyanta,4.7,-3.32,17.66,333,308,184,8323,1868,131
yuliawafa,5.14,-3.28,10.55,178,116,225,11809,1618,194
zulijanis,8.59,-5.27,18.09,27,177,10243,2220,804,1292
haluhaluclubbb,3.45,-1.71,16.6,337,484,3000,24056,1171,271
nauli_permata,2.05,-2.2,11.35,60,129,76,1950,214,91
erickdidudidu,4.76,-2.78,19.14,1048,845,3954,20106,1016,643
achadianrani,4.6,-4.94,15.69,293,246,881,28257,598,188
juliandennis1,3.92,-1.18,10.53,625,363,22590,19286,1231,371
t_gooners16,5.01,-5.46,17.82,195,205,624,8649,1609,288
ichatarina,5.76,-5.34,19.38,272,180,1206,20593,121,115
rizka_christian,5.61,-2.75,13.22,1956,58,86,88611,407,2338
okyranda,5.29,-3.01,16.84,419,540,178,9900,1624,213
evaxevi,3.32,-2.34,10.77,444,269,1594,9118,313,428
bettyindahr,3.84,-3.1,13.04,31,194,982,3771,843,73
micinsassae,3.52,-3.37,13.04,214,165,1361,4705,734,421
indahastikas,3.6,-3.49,15.27,316,246,291,24373,356,201
selftalker,7.03,-6.15,19.7,272,191,741,13561,524,768
ussiiyy,4.58,-2.4,16.0,1456,583,20749,170117,853,248
abcdenjiii,3.0,-1.96,12.7,225,216,604,8913,770,162
ekahanda,3.62,-3.28,16.15,531,822,312,30496,691,27
puten_hijau,4.04,-2.58,12.24,301,346,1398,2924,456,302
naddyadw,4.84,-2.64,13.52,410,385,296,13028,1170,82
wydyudi_,4.66,-4.39,16.68,592,164,174,3687,950,120
nysmonworld,4.34,-3.15,15.47,34,72,1496,1846,328,258
afidazkyy,4.3,-3.71,18.66,487,263,374,2547,693,821
iqbalpaz,6.2,-4.12,16.58,464,457,11565,14894,6,1369
gabriielle_l,3.54,-1.47,11.52,675,494,362,15156,800,111
nadyaulfahn,5.04,-3.99,13.08,443,605,596,12032,1005,1594
astikhairunnisa,4.16,-2.58,16.08,581,477,3346,34883,317,733
dwiahkam,3.78,-1.15,11.1,367,206,104,8699,362,42
tastyducky,4.59,-3.07,12.74,36,193,2129,2514,346,476
ghias_yusuf,5.5,-4.39,17.49,298,245,283,4216,427,158
darna17,4.46,-3.6,18.01,310,265,173,6965,583,158
daranagas,5.38,-4.46,15.99,111,350,153,1658,497,249
jooshpn,6.82,-5.86,20.54,492,132,850,4272,1560,562
azwardfauzan,2.67,-1.82,10.88,83,128,17,2180,359,4
dzakimadhani,5.68,-3.71,17.05,172,138,717,1536,413,40
alfrisadivaw,3.82,-1.82,11.19,105,110,4746,1164,64,4
idrisg8,4.28,-4.03,17.91,309,1355,1171,20486,1636,1014
arangkecap,5.0,-4.11,19.63,107,158,189,2583,40,313
chandnidevi,4.56,-2.21,17.87,568,511,22466,127479,436,3556
pocagurii,4.38,-4.47,16.12,188,260,5658,8846,396,206
ysyni,6.26,-5.78,17.87,259,586,1919,10867,390,1277
yudkuswar,4.12,-2.9,13.14,279,351,6827,30363,715,506
joabaldo,5.0,-3.27,16.62,225,103,637,16065,351,1205
pujaypujilpuu,2.84,-2.66,10.39,419,133,11347,9690,54,1438
maulanariandi,4.24,-3.47,21.53,535,745,322,44313,1700,221
vnyriany,5.49,-3.38,16.6,392,332,9880,5419,653,502
awwlltl,3.51,-2.04,18.71,336,426,784,7014,445,840
anakyangtangkas,4.77,-2.41,16.23,494,649,26546,19585,250,872
nisable23,3.52,-1.24,9.82,245,605,4580,6649,2557,100
akuuuberuang,5.32,-4.38,18.7,93,175,19435,2900,522,2717
kokocrvnch,5.84,-4.4,21.86,345,847,3270,21538,405,451
fia_lutfiazhari,5.67,-4.07,16.96,659,312,5285,26062,395,595
marisahafsyah94,4.62,-2.57,13.72,565,461,959,14772,1963,226
oziechonky,4.77,-3.64,17.6,203,341,849,4957,705,284
rzqmentari,5.9,-3.89,15.82,443,429,1114,15174,1195,89
introperti,5.98,-4.32,17.63,382,124,355,9070,1144,197
lerinarin,3.91,-3.5,18.63,538,464,4293,69980,1888,617
imadamii,4.38,-2.6,13.72,264,323,682,2835,420,39
g1tsy,6.03,-5.33,17.07,87,201,216,3130,853,779
kerakteloorr,5.14,-5.71,19.63,469,509,14110,54338,2207,1637
dellapj_,4.36,-3.02,16.73,776,477,456,26969,314,129
adlfynf,5.58,-3.02,17.03,311,260,330,16634,1049,904
erisyaeris,3.6,-2.91,17.13,398,282,464,19397,760,2511
miftahulilma10,5.06,-4.24,15.84,239,265,335,1906,315,289
alaaini1,5.06,-4.24,15.84,68,155,54,4044,2231,397
ociirosiana,5.05,-4.32,19.8,449,308,527,14817,1890,146
jollajoly,4.42,-3.15,14.48,259,310,1592,10132,918,171
vnessapatricia,2.85,-1.14,7.59,409,295,153,10565,997,13
elzr13,4.83,-6.63,22.11,220,165,854,6146,924,6863
rarraayu,4.83,-6.63,22.11,369,237,1773,18848,785,86
deliahndt,2.88,-1.65,9.43,459,298,1508,34390,943,26
bananamilxxx,4.76,-4.28,15.74,769,257,13552,79660,900,166
cipipiw,4.77,-4.23,12.62,298,364,35534,3648,333,2512
anggycaa,4.98,-2.18,17.62,419,163,8949,7834,676,237
rissaafh,4.6,-2.82,12.01,143,101,372,1244,423,50
nadihng,4.22,-4.74,18.16,322,258,837,28470,1207,225
punyauname,6.46,-5.67,20.04,382,573,621,11117,1755,237
nggitw,7.0,-4.84,24.97,160,298,278,3831,1170,60
destandriyani,3.03,-1.39,13.3,2434,532,39077,147785,1264,5797
saccharinande,5.61,-3.65,22.25,197,378,1442,3760,563,41
sora_alxean,6.77,-2.69,14.04,143,213,794,22393,401,721
kepikbesar,5.66,-4.41,18.74,277,218,480,6163,1088,3242
rafitaasr,6.04,-5.68,21.09,369,119,223,17083,1783,226
i_frankenstein,3.36,-3.57,19.02,440,331,88,13539,612,287
alaniafitri,5.73,-4.02,17.39,290,263,658,5526,557,42
yokozka,5.07,-2.78,18.34,207,179,1460,7565,673,653
bukandove,5.07,-2.78,18.34,52,97,3518,2009,794,55
silmiotmiot,5.07,-2.78,18.34,341,251,369,18145,587,18
metinaayu_,5.07,-2.78,18.34,1163,496,1408,7005,915,330
elidoff,5.81,-4.41,22.29,219,305,2850,9254,1364,1357
denokdhena,6.04,-4.33,17.99,486,631,1470,50846,2144,56
dheaniranabila,7.07,-2.89,17.11,645,426,1426,12464,415,553
ki_cuu,3.17,-1.71,11.03,208,137,129,11993,360,2381
v3isvthree,6.15,-4.65,21.44,850,897,4372,46660,2161,342
heyhestyy,4.39,-3.06,14.75,669,279,1157,48816,797,104
timutiimuti,1.99,-1.45,10.54,482,418,202,14566,121,340
rvghalif,4.32,-4.7,19.84,328,147,102,5153,666,333
trisawardanis,7.06,-3.06,17.21,237,204,5554,3750,467,686
zyoslin,5.04,-3.08,15.66,124,136,538,3942,780,670
munawaroh_mona,5.08,-3.45,15.44,1379,1287,524,12232,863,74
febbyjulietta,6.68,-5.24,17.14,29,121,370,3270,1984,131
hkawilarangg,4.33,-2.55,12.51,653,529,989,11455,793,451
mellahae,6.01,-1.76,15.9,325,187,19047,49375,3016,9
ptorianns,5.72,-3.23,16.5,44,317,5242,1216,420,210
a2lir,4.33,-4.08,19.0,88,208,927,6072,656,180
lilstep95,6.56,-4.88,23.34,2010,201,1085,6477,1722,461
oneperson01_,4.95,-2.11,15.94,181,472,59330,7896,2361,170
nurulainiii,4.87,-3.08,14.35,926,290,646,33285,1779,172
diniheryani,5.93,-4.11,16.59,504,271,135,27481,898,26
apdesti_,3.94,-3.98,16.55,114,160,1431,4295,317,956
rahmatfathoni,4.2,-2.58,12.24,234,261,4,4238,14,4
nadiadjibran,6.19,-4.69,18.78,718,360,608,18990,648,281
tiaraindhprmt,4.22,-2.06,11.24,182,173,107,5351,494,18
inkafbrn,6.37,-4.89,16.78,2046,547,725,76355,2403,34
ervhans,4.13,-3.31,15.94,78,771,206,2105,876,59
andiniayu,4.58,-2.49,18.91,292,502,920,6224,161,126
emanggemeshin,5.9,-4.53,16.63,105,158,3935,1968,629,226
ejakulasi_,2.8,-2.34,14.65,5385,480,4410,58610,772,3995
ariefpopoh,6.37,-3.72,18.7,165,203,158,6026,874,231
gramelt,5.23,-3.34,16.18,369,320,1487,25421,544,283
gebiyaeputri,5.59,-2.94,13.61,240,223,553,3188,665,160
astrifaj,4.8,-3.64,16.08,500,249,266,9383,750,124
alitapuspa_,4.56,-1.5,13.87,89,224,559,2092,574,257
fitrisip,4.99,-3.54,15.16,262,158,111,10214,289,51
yusrinasmarani,5.62,-3.67,13.67,451,289,311,19578,87,83
abdee,3.02,-2.19,16.62,141,7,0,2391,15,85
almostbeyours,4.6,-4.26,15.06,558,829,5641,20510,1399,826
ursnflwr_,2.74,-2.57,12.5,455,459,56,5106,933,623
novitakurniap,3.67,-3.79,13.36,424,290,1022,13021,659,190
alfinalfinn,2.21,-1.61,6.51,91,305,18735,5748,839,684
januarrmdhn,3.91,-1.68,12.33,482,223,6460,21402,412,796
dwidys_,3.48,-1.63,12.06,189,125,275,2837,787,67
liayurh_,3.71,-2.31,10.55,1017,442,418,17545,1656,217
isnakhairi,3.32,-2.54,13.68,260,354,9917,8075,83,2720
agus_trianto,5.06,-3.51,12.78,351,292,184,17485,781,61
iyaininajau,4.49,-2.83,11.22,266,110,11076,3304,375,293
ovilsp,5.12,-4.33,14.68,250,207,140,14374,444,15
virraaa_,4.12,-2.98,17.08,921,215,2550,31490,298,1682
baksopangsitnya,4.05,-2.86,13.16,104,176,2798,2562,1152,131
liawrdhani,4.18,-5.71,16.54,214,111,247,14561,1799,163
adinnda_ekhaa,9.3,-6.03,15.08,1374,97,1367,27040,67,4551
puteriroro,3.24,-2.67,14.02,301,177,3034,14544,510,432
tahtaallfina,6.52,-3.04,18.8,396,304,423,8393,686,560
meniaclosia,7.21,-3.65,19.21,320,301,1072,8892,685,727
adityandr,2.74,-1.32,9.76,207,245,410,1761,445,25
yulfaariza,3.92,-3.19,15.61,269,160,162,12050,747,137
rohanahrey,5.91,-2.84,15.18,304,321,2675,6416,972,127
sekarumn,5.56,-4.07,18.89,494,537,10428,31685,973,993
joeniararief,8.18,-3.04,18.49,6019,601,1000,13010,476,1038
linggaralfi,2.75,-2.56,13.16,575,354,4524,37881,500,343
hlutami,5.64,-2.61,13.75,368,393,660,5943,1541,183
r_fiika,5.27,-4.33,19.03,220,141,1537,13247,663,239
hidadahida,2.53,-2.13,11.23,244,272,191,1679,480,15
iphune,4.22,-2.92,17.64,2967,427,275,74424,556,129
vanillasvgar,2.58,-2.92,12.05,871,47,927,50599,212,38
kodelle_,6.31,-3.69,14.66,784,301,922,7508,676,773
strybycy,3.71,-2.73,11.43,86,310,3412,6956,935,175
phoebee_ip,7.65,-4.86,16.58,248,74,61,10035,1882,191
kalisnakal,4.22,-2.68,14.05,697,443,1,28967,745,188
rpdelimaa,5.13,-3.27,17.45,267,274,356,39614,503,220
iffamee,6.42,-6.38,15.49,590,584,366,11921,1130,205
lulufrdni,2.67,-2.8,11.88,931,565,216,60794,143,66
shelfiw,3.83,-2.49,12.69,537,309,94,26494,337,114
adityosusanto_,3.6,-2.89,13.22,396,153,1240,43225,1311,1169
grestina,2.3,-1.83,7.26,185,128,26,1414,25,5
nneninot1996,4.52,-2.78,15.0,471,321,3641,11954,1629,173
taritahir,4.26,-2.86,13.72,916,666,955,66539,1847,115
shafiraara,4.1,-2.48,11.24,174,77,690,12669,910,13
dzakyhaidar__,4.33,-2.36,16.04,479,488,3406,23265,1655,444
granweastery,2.84,-1.76,10.42,234,167,1381,14088,412,216
yuuta__96,3.12,-2.61,12.91,665,569,2019,39201,1320,556
egabetari,4.0,-3.07,16.53,212,216,78,8699,1021,145
lailapurnamas,5.54,-2.97,13.79,660,669,13,4299,196,13
indraszlaila,2.54,-0.9,8.29,179,177,4244,2322,597,34
devaina,3.63,-3.26,16.11,475,567,329,16457,232,317
nidakarin,3.04,-1.52,8.04,149,187,1,4410,229,1
fitriindy,8.97,-5.67,13.42,284,113,3529,4396,344,226
isnanarahma,6.54,-3.45,19.02,379,381,71,4065,646,103
pinochiao,2.44,-1.46,10.12,981,1592,9685,19936,370,2433
ramdaneinstein,3.0,-1.42,6.78,307,542,84,1397,50,45
effendisgurl,6.81,-4.69,16.96,382,152,1665,38634,488,74
mi_chiamo_joel,7.38,-3.96,15.5,225,267,3611,14542,1750,139
sfaui,2.6,-1.25,7.93,143,287,973,5033,169,15
dikmabelarosa,6.18,-3.75,20.63,178,134,534,2751,481,444
zea_mays07,5.52,-3.32,20.47,209,300,1539,3472,544,105
ni,2.43,-1.34,15.8,2260,1454,1372,4377,336,733
okkyskripsi,2.98,-2.36,14.66,203,327,245,9249,612,106
nopiynovi,6.53,-3.89,11.87,387,365,1336,9152,1172,76
artikakristi,6.1,-2.92,18.16,156,117,534,7713,262,50
ferrafbryn,3.41,-3.01,13.18,3242,885,808,97966,1290,1521
amalinafitrah,3.4,-1.71,11.32,387,206,1091,6988,561,118
salsabilabia,3.36,-2.74,9.79,1589,465,3134,69032,669,451
indomilk,4.62,-0.75,9.65,12627,2,236,1756,96,266645
ibnubons,5.9,-2.17,14.13,218,186,1397,9604,1579,94
wequte,3.09,-2.14,10.56,95,496,376,3342,1875,5
jehademusa,6.81,-5.72,19.75,1123,125,188,30007,1626,900
qthrnnada,3.93,-2.26,12.48,273,161,113,12114,151,26
hapsarihn,4.3,-3.21,12.95,347,310,3485,21574,475,257
chuggingtonn,4.58,-4.23,16.93,160,150,40,1888,14,720
naurakh,3.91,-3.91,14.69,519,439,3184,34731,1389,388
atikapuspi,4.22,-2.84,13.76,90,46,14,4874,1395,59
kissst__,1.56,-1.67,6.93,574,276,457,17597,390,11
fitripratiwi_pn,3.65,-3.84,14.89,374,168,749,8631,429,135
penguntitkmvrt,4.8,-3.95,16.26,65,125,1070,2297,134,176
agustinurfika,5.89,-3.12,13.26,674,318,39,10685,260,26
lenteeramerahh,4.46,-2.81,14.23,339,469,956,6229,455,1101
inimella1,3.75,-3.94,14.45,124,130,2874,2308,221,502
adamumemo,4.88,-3.54,15.72,403,391,13327,21766,2167,572
astridvivianni,2.98,-1.4,9.6,132,176,4944,745,170,34
ath_tobe,3.15,-4.01,14.29,25,82,129,506,12,114
benrskbyg,3.07,-1.93,12.35,23,28,967,2217,1211,2029
boboxsiang,6.38,-3.65,13.5,0,70,1711,968,4,109
bojaktempur,5.02,-3.04,11.9,37,80,309,735,13,396
citora_,3.97,-2.06,11.58,85,119,177,899,143,46
dannytandean,2.1,-1.29,10.67,507,500,3751,21698,1368,101
driddv,3.84,-2.88,14.95,60,55,3104,904,180,91
firmanoktaf,1.82,-1.01,9.28,56,115,1541,669,152,12
jundie_m,4.5,-5.14,15.14,61,87,3237,652,216,146
krisnawah,6.78,-5.59,18.04,24,101,520,1258,300,686
leoagung98,5.9,-4.74,17.66,112,182,610,1004,236,228
rahmanizar_,3.96,-1.24,9.13,270,232,2224,647,220,17
riskaadesuryani,3.9,-3.33,13.0,1424,877,7214,35122,1869,121
semesta_human,6.16,-5.18,14.57,13,70,352,558,194,50
siti_sr137,7.87,-7.2,16.36,77,285,2220,1093,309,2154
ariantipp,7.12,-2.94,11.85,183,13,0,327,5,0
betyratih,4.41,-3.1,14.15,204,122,981,7242,2102,63
clarisahasya,4.97,-3.78,14.92,85,127,241,4493,2091,93
fhrz99,6.39,-3.95,17.92,94,150,2578,621,251,152
fridamayanti,4.62,-5.06,13.79,82,128,186,5293,2412,32
esjaeruk,4.29,-3.48,14.15,205,589,4219,7456,2004,46
igonovaldi,4.55,-4.32,17.9,79,112,562,1494,609,162
juliepuspita01,4.94,-4.55,12.91,5,102,2467,634,219,106
khelian_ni_s,7.28,-2.93,16.85,3,3,27,382,69,15
komalasari_ak,4.53,-3.73,14.22,195,149,358,1281,423,91
melyst94,4.49,-3.4,15.97,182,95,940,5435,2176,501
nanasambara,3.21,-1.6,12.91,58,163,1312,660,224,47
niazmi_,3.51,-2.12,13.22,89,67,24,900,247,42
pipaaw,3.39,-1.56,9.67,245,270,0,894,7,2
rotiisicoklat,4.39,-3.82,12.71,1157,308,566,62740,2148,150
salisnurk,4.36,-2.81,16.79,407,415,41,1132,206,465
saraadaay,4.2,-2.2,12.43,41,81,1159,977,78,271
