username,follower,following,favorite,tweets,retweet,favorited
alfian_ay,211,214,594,37957,437,215
canc_ers,317,456,942,19991,885,20
lenoydew,306,160,5877,15929,864,335
chyntw_,822,263,774,54754,817,1756
stttopp,385,262,798,17818,1361,183
savirapu,505,272,4093,16906,740,147
gorjesparkle,345,242,408,1357,187,14
hasinanr,344,297,977,6640,1119,44
latifanajla__,107,119,684,1592,55,140
dyeah13,293,243,2323,17535,1067,75
aliencuk,78,50,4354,2090,34,1276
detiaferlian,825,260,12,3095,160,52
putriyuniardi,681,386,1623,67782,1681,89
fildzahanais,148,441,4774,3525,489,391
imfnia,448,382,596,9199,181,90
stephanieayuu,725,123,40,15563,750,346
farahmhdyyh,96,126,1307,1754,383,72
rizkaaulia,719,401,668,67888,628,125
viragutubela,218,203,2777,3074,112,175
kimsatgat2,62,189,37921,15132,492,769
rizol_rizal,380,645,87,8771,704,44
mautongue,1197,323,706,51108,2291,61
fanirchm27,875,524,193,62865,1198,201
rallyanta,333,308,184,8323,1868,131
yuliawafa,178,116,225,11809,1618,194
zulijanis,27,177,10243,2220,804,1292
haluhaluclubbb,337,484,3000,24056,1171,271
nauli_permata,60,129,76,1950,214,91
erickdidudidu,1048,845,3954,20106,1016,643
achadianrani,293,246,881,28257,598,188
juliandennis1,625,363,22590,19286,1231,371
t_gooners16,195,205,624,8649,1609,288
ichatarina,272,180,1206,20593,121,115
rizka_christian,1956,58,86,88611,407,2338
okyranda,419,540,178,9900,1624,213
evaxevi,444,269,1594,9118,313,428
bettyindahr,31,194,982,3771,843,73
micinsassae,214,165,1361,4705,734,421
indahastikas,316,246,291,24373,356,201
selftalker,272,191,741,13561,524,768
ussiiyy,1456,583,20749,170117,853,248
abcdenjiii,225,216,604,8913,770,162
ekahanda,531,822,312,30496,691,27
puten_hijau,301,346,1398,2924,456,302
naddyadw,410,385,296,13028,1170,82
wydyudi_,592,164,174,3687,950,120
nysmonworld,34,72,1496,1846,328,258
afidazkyy,487,263,374,2547,693,821
iqbalpaz,464,457,11565,14894,6,1369
gabriielle_l,675,494,362,15156,800,111
nadyaulfahn,443,605,596,12032,1005,1594
astikhairunnisa,581,477,3346,34883,317,733
dwiahkam,367,206,104,8699,362,42
tastyducky,36,193,2129,2514,346,476
ghias_yusuf,298,245,283,4216,427,158
darna17,310,265,173,6965,583,158
daranagas,111,350,153,1658,497,249
jooshpn,492,132,850,4272,1560,562
azwardfauzan,83,128,17,2180,359,4
dzakimadhani,172,138,717,1536,413,40
alfrisadivaw,105,110,4746,1164,64,4
idrisg8,309,1355,1171,20486,1636,1014
arangkecap,107,158,189,2583,40,313
chandnidevi,568,511,22466,127479,436,3556
pocagurii,188,260,5658,8846,396,206
ysyni,259,586,1919,10867,390,1277
yudkuswar,279,351,6827,30363,715,506
joabaldo,225,103,637,16065,351,1205
pujaypujilpuu,419,133,11347,9690,54,1438
maulanariandi,535,745,322,44313,1700,221
vnyriany,392,332,9880,5419,653,502
awwlltl,336,426,784,7014,445,840
anakyangtangkas,494,649,26546,19585,250,872
nisable23,245,605,4580,6649,2557,100
akuuuberuang,93,175,19435,2900,522,2717
kokocrvnch,345,847,3270,21538,405,451
fia_lutfiazhari,659,312,5285,26062,395,595
marisahafsyah94,565,461,959,14772,1963,226
oziechonky,203,341,849,4957,705,284
rzqmentari,443,429,1114,15174,1195,89
introperti,382,124,355,9070,1144,197
lerinarin,538,464,4293,69980,1888,617
imadamii,264,323,682,2835,420,39
g1tsy,87,201,216,3130,853,779
kerakteloorr,469,509,14110,54338,2207,1637
dellapj_,776,477,456,26969,314,129
adlfynf,311,260,330,16634,1049,904
erisyaeris,398,282,464,19397,760,2511
miftahulilma10,239,265,335,1906,315,289
alaaini1,68,155,54,4044,2231,397
ociirosiana,449,308,527,14817,1890,146
jollajoly,259,310,1592,10132,918,171
vnessapatricia,409,295,153,10565,997,13
elzr13,220,165,854,6146,924,6863
rarraayu,369,237,1773,18848,785,86
deliahndt,459,298,1508,34390,943,26
bananamilxxx,769,257,13552,79660,900,166
cipipiw,298,364,35534,3648,333,2512
anggycaa,419,163,8949,7834,676,237
rissaafh,143,101,372,1244,423,50
nadihng,322,258,837,28470,1207,225
punyauname,382,573,621,11117,1755,237
nggitw,160,298,278,3831,1170,60
destandriyani,2434,532,39077,147785,1264,5797
saccharinande,197,378,1442,3760,563,41
sora_alxean,143,213,794,22393,401,721
kepikbesar,277,218,480,6163,1088,3242
rafitaasr,369,119,223,17083,1783,226
i_frankenstein,440,331,88,13539,612,287
alaniafitri,290,263,658,5526,557,42
yokozka,207,179,1460,7565,673,653
bukandove,52,97,3518,2009,794,55
silmiotmiot,341,251,369,18145,587,18
metinaayu_,1163,496,1408,7005,915,330
elidoff,219,305,2850,9254,1364,1357
denokdhena,486,631,1470,50846,2144,56
dheaniranabila,645,426,1426,12464,415,553
ki_cuu,208,137,129,11993,360,2381
v3isvthree,850,897,4372,46660,2161,342
heyhestyy,669,279,1157,48816,797,104
timutiimuti,482,418,202,14566,121,340
rvghalif,328,147,102,5153,666,333
trisawardanis,237,204,5554,3750,467,686
zyoslin,124,136,538,3942,780,670
munawaroh_mona,1379,1287,524,12232,863,74
febbyjulietta,29,121,370,3270,1984,131
hkawilarangg,653,529,989,11455,793,451
mellahae,325,187,19047,49375,3016,9
ptorianns,44,317,5242,1216,420,210
a2lir,88,208,927,6072,656,180
lilstep95,2010,201,1085,6477,1722,461
oneperson01_,181,472,59330,7896,2361,170
nurulainiii,926,290,646,33285,1779,172
diniheryani,504,271,135,27481,898,26
apdesti_,114,160,1431,4295,317,956
rahmatfathoni,234,261,4,4238,14,4
nadiadjibran,718,360,608,18990,648,281
tiaraindhprmt,182,173,107,5351,494,18
inkafbrn,2046,547,725,76355,2403,34
ervhans,78,771,206,2105,876,59
andiniayu,292,502,920,6224,161,126
emanggemeshin,105,158,3935,1968,629,226
ejakulasi_,5385,480,4410,58610,772,3995
ariefpopoh,165,203,158,6026,874,231
gramelt,369,320,1487,25421,544,283
gebiyaeputri,240,223,553,3188,665,160
astrifaj,500,249,266,9383,750,124
alitapuspa_,89,224,559,2092,574,257
fitrisip,262,158,111,10214,289,51
yusrinasmarani,451,289,311,19578,87,83
abdee,141,7,0,2391,15,85
almostbeyours,558,829,5641,20510,1399,826
ursnflwr_,455,459,56,5106,933,623
novitakurniap,424,290,1022,13021,659,190
alfinalfinn,91,305,18735,5748,839,684
januarrmdhn,482,223,6460,21402,412,796
dwidys_,189,125,275,2837,787,67
liayurh_,1017,442,418,17545,1656,217
isnakhairi,260,354,9917,8075,83,2720
agus_trianto,351,292,184,17485,781,61
iyaininajau,266,110,11076,3304,375,293
ovilsp,250,207,140,14374,444,15
virraaa_,921,215,2550,31490,298,1682
baksopangsitnya,104,176,2798,2562,1152,131
liawrdhani,214,111,247,14561,1799,163
adinnda_ekhaa,1374,97,1367,27040,67,4551
puteriroro,301,177,3034,14544,510,432
tahtaallfina,396,304,423,8393,686,560
meniaclosia,320,301,1072,8892,685,727
adityandr,207,245,410,1761,445,25
yulfaariza,269,160,162,12050,747,137
rohanahrey,304,321,2675,6416,972,127
sekarumn,494,537,10428,31685,973,993
joeniararief,6019,601,1000,13010,476,1038
linggaralfi,575,354,4524,37881,500,343
hlutami,368,393,660,5943,1541,183
r_fiika,220,141,1537,13247,663,239
hidadahida,244,272,191,1679,480,15
iphune,2967,427,275,74424,556,129
vanillasvgar,871,47,927,50599,212,38
kodelle_,784,301,922,7508,676,773
strybycy,86,310,3412,6956,935,175
phoebee_ip,248,74,61,10035,1882,191
kalisnakal,697,443,1,28967,745,188
rpdelimaa,267,274,356,39614,503,220
iffamee,590,584,366,11921,1130,205
lulufrdni,931,565,216,60794,143,66
shelfiw,537,309,94,26494,337,114
adityosusanto_,396,153,1240,43225,1311,1169
grestina,185,128,26,1414,25,5
nneninot1996,471,321,3641,11954,1629,173
taritahir,916,666,955,66539,1847,115
shafiraara,174,77,690,12669,910,13
dzakyhaidar__,479,488,3406,23265,1655,444
granweastery,234,167,1381,14088,412,216
yuuta__96,665,569,2019,39201,1320,556
egabetari,212,216,78,8699,1021,145
lailapurnamas,660,669,13,4299,196,13
indraszlaila,179,177,4244,2322,597,34
devaina,475,567,329,16457,232,317
nidakarin,149,187,1,4410,229,1
fitriindy,284,113,3529,4396,344,226
isnanarahma,379,381,71,4065,646,103
pinochiao,981,1592,9685,19936,370,2433
ramdaneinstein,307,542,84,1397,50,45
effendisgurl,382,152,1665,38634,488,74
mi_chiamo_joel,225,267,3611,14542,1750,139
sfaui,143,287,973,5033,169,15
dikmabelarosa,178,134,534,2751,481,444
zea_mays07,209,300,1539,3472,544,105
ni,2260,1454,1372,4377,336,733
okkyskripsi,203,327,245,9249,612,106
nopiynovi,387,365,1336,9152,1172,76
artikakristi,156,117,534,7713,262,50
ferrafbryn,3242,885,808,97966,1290,1521
amalinafitrah,387,206,1091,6988,561,118
salsabilabia,1589,465,3134,69032,669,451
indomilk,12627,2,236,1756,96,266645
ibnubons,218,186,1397,9604,1579,94
wequte,95,496,376,3342,1875,5
jehademusa,1123,125,188,30007,1626,900
qthrnnada,273,161,113,12114,151,26
hapsarihn,347,310,3485,21574,475,257
chuggingtonn,160,150,40,1888,14,720
naurakh,519,439,3184,34731,1389,388
atikapuspi,90,46,14,4874,1395,59
kissst__,574,276,457,17597,390,11
fitripratiwi_pn,374,168,749,8631,429,135
penguntitkmvrt,65,125,1070,2297,134,176
agustinurfika,674,318,39,10685,260,26
lenteeramerahh,339,469,956,6229,455,1101
inimella1,124,130,2874,2308,221,502
adamumemo,403,391,13327,21766,2167,572
astridvivianni,132,176,4944,745,170,34
ath_tobe,25,82,129,506,12,114
benrskbyg,23,28,967,2217,1211,2029
boboxsiang,0,70,1711,968,4,109
bojaktempur,37,80,309,735,13,396
citora_,85,119,177,899,143,46
dannytandean,507,500,3751,21698,1368,101
driddv,60,55,3104,904,180,91
firmanoktaf,56,115,1541,669,152,12
jundie_m,61,87,3237,652,216,146
krisnawah,24,101,520,1258,300,686
leoagung98,112,182,610,1004,236,228
rahmanizar_,270,232,2224,647,220,17
riskaadesuryani,1424,877,7214,35122,1869,121
semesta_human,13,70,352,558,194,50
siti_sr137,77,285,2220,1093,309,2154
ariantipp,183,13,0,327,5,0
betyratih,204,122,981,7242,2102,63
clarisahasya,85,127,241,4493,2091,93
fhrz99,94,150,2578,621,251,152
fridamayanti,82,128,186,5293,2412,32
esjaeruk,205,589,4219,7456,2004,46
igonovaldi,79,112,562,1494,609,162
juliepuspita01,5,102,2467,634,219,106
khelian_ni_s,3,3,27,382,69,15
komalasari_ak,195,149,358,1281,423,91
melyst94,182,95,940,5435,2176,501
nanasambara,58,163,1312,660,224,47
niazmi_,89,67,24,900,247,42
pipaaw,245,270,0,894,7,2
rotiisicoklat,1157,308,566,62740,2148,150
salisnurk,407,415,41,1132,206,465
saraadaay,41,81,1159,977,78,271
siti89nurjanah,9,67,1161,781,304,148
susiindah16,27,63,2382,951,233,353
sweetenxerrrr,200,266,2066,11150,2064,290
triaisharaa,87,176,387,986,319,89
trianeee_,42,85,529,5970,2102,98
